日付,コード,銘柄名,市場・商品区分,33業種コード,33業種区分,17業種コード,17業種区分,規模コード,規模区分
20260131.0,5698.0,エンビプロ・ホールディングス,スタンダード（内国株式）,3450.0,鉄鋼,7.0,鉄鋼・非鉄,7.0,TOPIX Small 2
20260131.0,5699.0,イボキン,スタンダード（内国株式）,3450.0,鉄鋼,7.0,鉄鋼・非鉄,-,-
20260131.0,5702.0,大紀アルミニウム工業所,プライム（内国株式）,3500.0,非鉄金属,7.0,鉄鋼・非鉄,6.0,TOPIX Small 1
20260131.0,5703.0,日本軽金属ホールディングス,プライム（内国株式）,3500.0,非鉄金属,7.0,鉄鋼・非鉄,6.0,TOPIX Small 1
20260131.0,5704.0,ＪＭＣ,グロース（内国株式）,3500.0,非鉄金属,7.0,鉄鋼・非鉄,-,-
20260131.0,5706.0,三井金属,プライム（内国株式）,3500.0,非鉄金属,7.0,鉄鋼・非鉄,4.0,TOPIX Mid400
20260131.0,5707.0,東邦亜鉛,プライム（内国株式）,3500.0,非鉄金属,7.0,鉄鋼・非鉄,7.0,TOPIX Small 2
20260131.0,5711.0,三菱マテリアル,プライム（内国株式）,3500.0,非鉄金属,7.0,鉄鋼・非鉄,4.0,TOPIX Mid400
20260131.0,5713.0,住友金属鉱山,プライム（内国株式）,3500.0,非鉄金属,7.0,鉄鋼・非鉄,4.0,TOPIX Mid400
20260131.0,5714.0,ＤＯＷＡホールディングス,プライム（内国株式）,3500.0,非鉄金属,7.0,鉄鋼・非鉄,4.0,TOPIX Mid400
20260131.0,5715.0,古河機械金属,プライム（内国株式）,3500.0,非鉄金属,7.0,鉄鋼・非鉄,6.0,TOPIX Small 1
20260131.0,5721.0,エス・サイエンス,スタンダード（内国株式）,3500.0,非鉄金属,7.0,鉄鋼・非鉄,-,-
20260131.0,5724.0,アサカ理研,スタンダード（内国株式）,3500.0,非鉄金属,7.0,鉄鋼・非鉄,-,-
20260131.0,5726.0,大阪チタニウムテクノロジーズ,プライム（内国株式）,3500.0,非鉄金属,7.0,鉄鋼・非鉄,6.0,TOPIX Small 1
20260131.0,5727.0,東邦チタニウム,プライム（内国株式）,3500.0,非鉄金属,7.0,鉄鋼・非鉄,6.0,TOPIX Small 1
20260131.0,5729.0,日本精鉱,スタンダード（内国株式）,3500.0,非鉄金属,7.0,鉄鋼・非鉄,-,-
20260131.0,5741.0,ＵＡＣＪ,プライム（内国株式）,3500.0,非鉄金属,7.0,鉄鋼・非鉄,6.0,TOPIX Small 1
20260131.0,5742.0,エヌアイシ・オートテック,スタンダード（内国株式）,3500.0,非鉄金属,7.0,鉄鋼・非鉄,-,-
20260131.0,5753.0,日本伸銅,スタンダード（内国株式）,3500.0,非鉄金属,7.0,鉄鋼・非鉄,-,-
20260131.0,5757.0,ＣＫサンエツ,プライム（内国株式）,3500.0,非鉄金属,7.0,鉄鋼・非鉄,7.0,TOPIX Small 2
20260131.0,5801.0,古河電気工業,プライム（内国株式）,3500.0,非鉄金属,7.0,鉄鋼・非鉄,4.0,TOPIX Mid400
20260131.0,5802.0,住友電気工業,プライム（内国株式）,3500.0,非鉄金属,7.0,鉄鋼・非鉄,2.0,TOPIX Large70
20260131.0,5803.0,フジクラ,プライム（内国株式）,3500.0,非鉄金属,7.0,鉄鋼・非鉄,2.0,TOPIX Large70
20260131.0,5805.0,ＳＷＣＣ,プライム（内国株式）,3500.0,非鉄金属,7.0,鉄鋼・非鉄,6.0,TOPIX Small 1
20260131.0,5816.0,オーナンバ,スタンダード（内国株式）,3500.0,非鉄金属,7.0,鉄鋼・非鉄,-,-
20260131.0,5817.0,ＪＭＡＣＳ,スタンダード（内国株式）,3500.0,非鉄金属,7.0,鉄鋼・非鉄,-,-
20260131.0,5819.0,カナレ電気,スタンダード（内国株式）,3500.0,非鉄金属,7.0,鉄鋼・非鉄,-,-
20260131.0,5820.0,三ッ星,スタンダード（内国株式）,3500.0,非鉄金属,7.0,鉄鋼・非鉄,-,-
20260131.0,5821.0,平河ヒューテック,プライム（内国株式）,3500.0,非鉄金属,7.0,鉄鋼・非鉄,7.0,TOPIX Small 2
20260131.0,5830.0,いよぎんホールディングス,プライム（内国株式）,7050.0,銀行業,15.0,銀行,4.0,TOPIX Mid400
20260131.0,5831.0,しずおかフィナンシャルグループ,プライム（内国株式）,7050.0,銀行業,15.0,銀行,4.0,TOPIX Mid400
20260131.0,5832.0,ちゅうぎんフィナンシャルグループ,プライム（内国株式）,7050.0,銀行業,15.0,銀行,4.0,TOPIX Mid400
20260131.0,5834.0,ＳＢＩリーシングサービス,グロース（内国株式）,7100.0,証券、商品先物取引業,16.0,金融（除く銀行）,-,-
20260131.0,5838.0,楽天銀行,プライム（内国株式）,7050.0,銀行業,15.0,銀行,4.0,TOPIX Mid400
20260131.0,5840.0,日本総険,PRO Market,7150.0,保険業,16.0,金融（除く銀行）,-,-
20260131.0,5842.0,インテグラル,グロース（内国株式）,7100.0,証券、商品先物取引業,16.0,金融（除く銀行）,-,-
20260131.0,5843.0,ニッポンインシュア,スタンダード（内国株式）,7200.0,その他金融業,16.0,金融（除く銀行）,-,-
20260131.0,5844.0,京都フィナンシャルグループ,プライム（内国株式）,7050.0,銀行業,15.0,銀行,4.0,TOPIX Mid400
20260131.0,5845.0,全保連,スタンダード（内国株式）,7200.0,その他金融業,16.0,金融（除く銀行）,-,-
20260131.0,5851.0,リョービ,プライム（内国株式）,3500.0,非鉄金属,7.0,鉄鋼・非鉄,6.0,TOPIX Small 1
20260131.0,5852.0,アーレスティ,プライム（内国株式）,3500.0,非鉄金属,7.0,鉄鋼・非鉄,-,-
20260131.0,5856.0,エルアイイーエイチ,スタンダード（内国株式）,6100.0,小売業,14.0,小売,-,-
20260131.0,5857.0,ＡＲＥホールディングス,プライム（内国株式）,3500.0,非鉄金属,7.0,鉄鋼・非鉄,6.0,TOPIX Small 1
20260131.0,5858.0,ＳＴＧ,グロース（内国株式）,3500.0,非鉄金属,7.0,鉄鋼・非鉄,-,-
20260131.0,5866.0,ＷｉｚＢｉｚ,PRO Market,9050.0,サービス業,10.0,情報通信・サービスその他,-,-
20260131.0,5867.0,エスネットワークス,グロース（内国株式）,9050.0,サービス業,10.0,情報通信・サービスその他,-,-
20260131.0,5868.0,ロココ,スタンダード（内国株式）,9050.0,サービス業,10.0,情報通信・サービスその他,-,-
20260131.0,5869.0,早稲田学習研究会,スタンダード（内国株式）,9050.0,サービス業,10.0,情報通信・サービスその他,-,-
20260131.0,5870.0,ナルネットコミュニケーションズ,グロース（内国株式）,9050.0,サービス業,10.0,情報通信・サービスその他,-,-
20260131.0,5871.0,ＳＯＬＩＺＥ　Ｈｏｌｄｉｎｇｓ,スタンダード（内国株式）,9050.0,サービス業,10.0,情報通信・サービスその他,-,-
20260131.0,5883.0,ＧＴホールディングス,PRO Market,6050.0,卸売業,13.0,商社・卸売,-,-
20260131.0,5884.0,クラダシ,グロース（内国株式）,6100.0,小売業,14.0,小売,-,-
20260131.0,5885.0,ジーデップ・アドバンス,スタンダード（内国株式）,6050.0,卸売業,13.0,商社・卸売,-,-
